ID товара,Наименование,Бренд,Актуальная Цена,Старая цена,Ссылка
Артикул: 333223,"METRO Chef Мороженое Пломбир шоколадный с шоколадной крошкой, 2.5кг",METRO CHEF,999,,https://online.metro-cc.ru/products/plombir-shokoladnyj-s-shokoladnoj-kroshkoj-metro-chef-25kg
Артикул: 135683,"Мороженое Sunreme малина-банан, 78г",SUNREME,64.90,83.90,https://online.metro-cc.ru/products/morozhenoe-sunreme-malina-banan-78g-bzmzh
Артикул: 421531,"Мороженое Чистая Линия Пломбир вафельный стаканчик, 80г",ЧИСТАЯ ЛИНИЯ,49.90,83.90,https://online.metro-cc.ru/products/plombir-chistaya-liniya-vafelnyj-stakanchik-80g-bzmzh
Артикул: 566257,"Мороженое Коровка из Кореновки Пломбир полено с шоколадной стружкой, 400г",КОРОВКА ИЗ КОРЕНОВКИ,229,319,https://online.metro-cc.ru/products/poleno-korovka-iz-korenovki-plombir-s-shokoladnoj-struzhkoj-400g-bzmzh
Артикул: 497873,"aro Мороженое шоколад, 1кг",ARO,227,,https://online.metro-cc.ru/products/aro-morozhenoe-shokolad-1kg
Артикул: 589197,"Мороженое Baskin Robbins Сливки с печеньем, 600г",BASKIN ROBBINS,679,,https://online.metro-cc.ru/products/plombir-baskin-robbins-slivki-s-pechenyem-vederko-600g
Артикул: 497875,"aro Мороженое с ароматом клубники, 1кг",ARO,227,,https://online.metro-cc.ru/products/aro-morozhenoe-s-aromatom-klubniki-1kg
Артикул: 452288,"Мороженое Коровка из Кореновки Эскимо Пломбир в шоколадной глазури, 70г",КОРОВКА ИЗ КОРЕНОВКИ,82.90,,https://online.metro-cc.ru/products/plombir-korovka-iz-korenovki-v-shokoladnoj-glazuri-eskimo-70g-bzmzh
Артикул: 451086,"Мороженое Золотой стандарт Пломбир с черникой контейнер, 475г",ЗОЛОТОЙ СТАНДАРТ,309,459,https://online.metro-cc.ru/products/plombir-zolotoj-standart-s-chernikoj-kontejner-500g-bzmzh
Артикул: 499988,"Мороженое Gelato Di Natura вишня, 1.575кг",GELATO,1559,,https://online.metro-cc.ru/products/plombir-gelato-di-natura-vishnya-kontejner-15kg
Артикул: 217612,"Мороженое 48 копеек пломбир с клюквенным морсом, 58г",48 КОПЕЕК,67.90,,https://online.metro-cc.ru/products/58g-morozhenoe-plombir-48-kopeek-s-klyukv-morsom-bzmzh
Артикул: 119428,"METRO Chef Мороженое Пломбир с ароматом фисташки, 500г",METRO CHEF,349,,https://online.metro-cc.ru/products/500g-plombir-metro-chef-arom-fist-vanna-bzmzh
Артикул: 100127,"Мороженое Snickers сливочное c пастой из арахиса и карамелью, 340г",SNICKERS,499,,https://online.metro-cc.ru/products/snickers-vedro-340g-bzmzh
Артикул: 137547,"METRO Chef Сорбет лайм замороженный, 1.5кг",METRO CHEF,999,,https://online.metro-cc.ru/products/15kg-sorbet-metro-chef-laym-zamorozhennyy
Артикул: 135682,"Мороженое Sunreme клубника, 73г",SUNREME,64.90,83.90,https://online.metro-cc.ru/products/morozhenoe-sunreme-klubnika-73g-bzmzh
Артикул: 218344,"Мороженое Brandice попкорн, 600г",BRANDICE,399,759,https://online.metro-cc.ru/products/600g-morozhenoe-brandice-popkorn-bzmzh
Артикул: 529926,"Мороженое Талосто Классическая Венеция Пломбир ванильный пачка, 450г",ТАЛОСТО,262,,https://online.metro-cc.ru/products/plombir-talosto-veneciya-klassicheskaya-vanilnyj-pachka-450g-bzmzh
Артикул: 137164,"Мороженое Monterra Ванильная мечта, 252г",MONTERRA,469,,https://online.metro-cc.ru/products/morozhenoe-monterra-vanil-252g-bzmzh
Артикул: 217594,"Мороженое Золотой стандарт сэндвич в печенье, 69г",ЗОЛОТОЙ СТАНДАРТ,76.90,,https://online.metro-cc.ru/products/69g-morozhenoe-sendvich-zolotoy-standart-v-pechen-bzmzh
Артикул: 109178,"Чай Айскро малина-клубника-базилик-корица замороженный, 150г",АЙСКРО,199,,https://online.metro-cc.ru/products/chaj-malino-klubnichnyj-ajskro-s-bazilikom-koricej-zamorozhennyj-150-g
Артикул: 505962,"Мороженое Bon Pari Взрывной ураган Эскимо фруктовый лед с клубникой, 60г",BON PARI,58.90,,https://online.metro-cc.ru/products/fruktovyj-led-bon-pari-vzryvnoj-uragan-s-klubnikoj-eskimo-60g-bzmzh
Артикул: 69647,"Мороженое Oreo с печеньем, 76г",OREO,106,,https://online.metro-cc.ru/products/oreo-s-pechenyem-76g-bzmzh
Артикул: 137173,"Мороженое Monterra Тирамису, 277г",MONTERRA,469,,https://online.metro-cc.ru/products/morozhenoe-monterra-tiramisu-277g-bzmzh
Артикул: 79254,"Мороженое Milka Эскимо в шоколаде, 62г",MILKA,107,,https://online.metro-cc.ru/products/eskimo-v-shokolade-milka-62-g
Артикул: 119427,"METRO Chef Мороженое Пломбир шоколадный, 500г",METRO CHEF,349,,https://online.metro-cc.ru/products/500g-plombir-metro-chef-shokolad-vanna-bzmzh
Артикул: 519384,"Мороженое Gelato Di Natura молочное шоколад, 1.575кг",GELATO,1559,,https://online.metro-cc.ru/products/plombir-gelato-di-natura-shokolad-kontejner-15kg
Артикул: 218537,"Мороженое Коровка из Кореновки малина-глазурь, 90г",КОРОВКА ИЗ КОРЕНОВКИ,85.90,99.90,https://online.metro-cc.ru/products/90g-morozhenoe-korovka-iz-korenovki-malinglazur-bzmzh
Артикул: 387520,"Мороженое Магнат Эскимо манго красные ягоды, 74г",МАГНАТ,99.90,,https://online.metro-cc.ru/products/magnat-eskimo-v-shokolade-mango-krasnye-yagody-74-gr
Артикул: 211460,"Мороженое Филевское лакомка сливочное ванильное во взбитой шоколадной глазури, 90г",ФИЛЕВСКОЕ,55.90,,https://online.metro-cc.ru/products/filevskaya-lakomka-ajsberri-slivochnaya-90-g
Артикул: 452290,"Мороженое Коровка из Кореновки Пломбир крем-брюле вафельный стаканчик, 100г",КОРОВКА ИЗ КОРЕНОВКИ,73.90,,https://online.metro-cc.ru/products/plombir-korovka-iz-korenovki-krem-bryule-vafelnyj-stakanchik-100g-bzmzh
Артикул: 109175,"Чай Айскро облепиха-лимон-имбирь-бадьян-лемонграсс замороженный, 150г",АЙСКРО,199,,https://online.metro-cc.ru/products/chaj-ajskro-s-oblepihoj-limonom-imbirem-badyanom-lemongrassom-zamorozhennyj-150-g
Артикул: 641465,"Мороженое Коровка из Кореновки Эскимо Пломбир в шоколадной глазури с фундуком, 70г",КОРОВКА ИЗ КОРЕНОВКИ,89.90,,https://online.metro-cc.ru/products/plombir-korovka-iz-korenovki-eskimo-v-shokoladnoj-glazuri-s-fundukom-70g
Артикул: 254020,"Мороженое Магнат Брюнетка Эскимо молочное, 74г",МАГНАТ,99.90,,https://online.metro-cc.ru/products/magnat-bryunetka-eskimo-82g-bzmzh
Артикул: 588636,"Мороженое Коровка из Кореновки Пломбир Полено, 400г",КОРОВКА ИЗ КОРЕНОВКИ,229,297,https://online.metro-cc.ru/products/korovka-iz-korenovki-plombir-poleno-400g-bzmzh
Артикул: 84139,"Мороженое 48 копеек Пломбир брикет, 210г",48 КОПЕЕК,159.01,,https://online.metro-cc.ru/products/48-kopeek-plombir-briket-bez-zamenitelya-molochnogo-zhira-210-g
Артикул: 84134,"Мороженое 48 копеек шоколадное с шоколадным соусом, 232г",48 КОПЕЕК,159.01,,https://online.metro-cc.ru/products/48-kopeek-s-shokoladnym-sousom-briket-232-g
Артикул: 117976,"Мороженое Свитлогорье Золотая ириска Эскимо Пломбир двухслойное, 80г",СВИТЛОГОРЬЕ,84.90,,https://online.metro-cc.ru/products/80g-svitlogorye-zolotaya-iriska-dvuhslojn-bzmzh
Артикул: 218536,"Мороженое Коровка из Кореновки ваниль-глазурь, 90г",КОРОВКА ИЗ КОРЕНОВКИ,75.90,79.90,https://online.metro-cc.ru/products/90g-morozhenoe-korovka-iz-korenovki-vanilglazur-bzmzh
Артикул: 524509,"Мороженое Ekzo Эскимо манго-малина в фруктовой глазури, 70г",EKZO,88.90,,https://online.metro-cc.ru/products/ekzo-eskimo-v-fruktovoj-glazuri-mango-malina-70-gr
Артикул: 117168,"Мороженое Чистая Линия Пломбир ванильный в апельсиновой глазури, 70г",ЧИСТАЯ ЛИНИЯ,59.90,107,https://online.metro-cc.ru/products/plombir-chistaya-liniya-vanilnyj-v-apelsinovoj-glazuri-bzmzh-70-g
Артикул: 457563,"METRO Chef Щербет клюквенный, 1.5кг",METRO CHEF,755,,https://online.metro-cc.ru/products/scherbet-metro-chef-klyukva-15kg
Артикул: 217613,"Мороженое Maxiduo вафельный микс сливочное, 63г",MAXIDUO,69.91,,https://online.metro-cc.ru/products/63g-morozhenoe-maxiduo-vafelnyy-miks-slivochnoe-bzmzh
Артикул: 524502,"Мороженое Магнат Эскимо шоколадный трюфель, 72г",МАГНАТ,99.90,,https://online.metro-cc.ru/products/vanilnoe-magnat-shokoladnyj-tryufel-eskimo-80g-bzmzh
Артикул: 128317,"Фруктовый лед Bon Pari с соком арбуза, 67г",BON PARI,58.90,,https://online.metro-cc.ru/products/67g-fruktovyj-lyod-bon-pari-arbuz
Артикул: 137183,"Мороженое Monterra Печенье и карамель, 298г",MONTERRA,469,,https://online.metro-cc.ru/products/morozhenoe-monterra-pechene-karamel-298g-bzmzh
Артикул: 100126,"Мороженое Mars с карамелью и глазурью, 300г",MARS,499,,https://online.metro-cc.ru/products/mars-vederko-300g-bzmzh
Артикул: 593209,"Мороженое Iceumi Mochi Ice Cream сливочное в рисовой глазури с кусочками персика и маракуйи (35г х 8шт), 300г",ICEUMI,839,,https://online.metro-cc.ru/products/modzhi-iceumi-mochi-persik-marakujya-v-upakovke-8h35g-bzmzh
Артикул: 421532,"Мороженое Чистая Линия Семейное Пломбир, 450г",ЧИСТАЯ ЛИНИЯ,249,429,https://online.metro-cc.ru/products/plombir-chistaya-liniya-semejnoe-pachka-450g-bzmzh
Артикул: 423676,"Мороженое Bon Pari Джангли Эскимо молочное желе, 45г",BON PARI,52.90,,https://online.metro-cc.ru/products/zhele-bon-pari-dzhangli-eskimo-47g-bzmzh
Артикул: 110855,"Чай Nordictea вишневый глинтвейн замороженный, 50г",NORDICTEA,113,,https://online.metro-cc.ru/products/chaj-nordictea-vishnevyj-glintvejn-50g
Артикул: 135684,"Мороженое Maxiduo Страчателла, 92г",MAXIDUO,106,,https://online.metro-cc.ru/products/morozhenoe-maxiduo-strachatella-92g-bzmzh
Артикул: 217595,"Мороженое Магнат Duet эскимо маракуйя-кокос, 70г",МАГНАТ,109,,https://online.metro-cc.ru/products/70g-morozhenoe-eskimo-magnat-duet-marakuyyakokos-bzmzh
Артикул: 137182,"Мороженое Monterra Кленовый сироп и грецкий орех, 298г",MONTERRA,469,,https://online.metro-cc.ru/products/morozhenoe-monterra-klenovyy-sirop-gretskiy-oreh-298g-bzmzh
Артикул: 66881,"Мороженое Amore Карамель с морской солью, 270г",AMORE,239,319,https://online.metro-cc.ru/products/amore-karamel-s-morskoj-solyu-bez-zamenitelya-molochnyh-zhirov-270-g
Артикул: 519387,"Мороженое Gelato Di Natura молочное лимон, 1.575кг",GELATO,1559,,https://online.metro-cc.ru/products/plombir-gelato-di-natura-limon-kontejner-15kg
Артикул: 426790,"Мороженое Филевское Пломбир с шоколадной глазурью ванильный в вафельном стаканчике, 100г",ФИЛЕВСКОЕ,47.49,,https://online.metro-cc.ru/products/filevskoe-plombir-vanilnyj-v-vafelnom-stakane-100g-bzmzh
Артикул: 137178,"Мороженое Monterra Манго и крем, 281г",MONTERRA,469,,https://online.metro-cc.ru/products/morozhenoe-monterra-mango-krem-281g-bzmzh
Артикул: 217597,"Мороженое Золотой стандарт классическое в вафельном стаканчике, 95г",ЗОЛОТОЙ СТАНДАРТ,70.90,,https://online.metro-cc.ru/products/95g-morozhenoe-zolotoy-standart-klassich-vafst-bzmzh
Артикул: 110852,"Чай Nordictea облепиха с розмарином замороженный, 50г",NORDICTEA,113,,https://online.metro-cc.ru/products/chaj-nordictea-oblepiha-s-rozmarinom-50g
Артикул: 128439,"RIOBA Сорбет манго-маракуйя, 75г",RIOBA,109,,https://online.metro-cc.ru/products/75g-sorbet-rioba-mango-marakujya
Артикул: 356150,"Мороженое Чистая Линия Московская Лакомка Пломбир, 80г",ЧИСТАЯ ЛИНИЯ,89.90,139,https://online.metro-cc.ru/products/plombir-chistaya-liniya-moskovskaya-lakomka-batonchik-80g-bzmzh
Артикул: 202663,"Мороженое Магнат Дабл соленая карамель, 310г",МАГНАТ,589,,https://online.metro-cc.ru/products/310g-morozhenoe-magnat-dabl-solyonaya-karamel-bzmzh
Артикул: 611682,"Мороженое Gelato Di Natura молочное маскарпоне, 1.575кг",GELATO,1559,,https://online.metro-cc.ru/products/plombir-gelato-di-natura-maskarpone-kontejner-1575kg
Артикул: 110853,"Чай Nordictea апельсин-лемонграсс-клубника замороженный, 50г",NORDICTEA,113,,https://online.metro-cc.ru/products/chaj-nordictea-apelsin-lemongrass-klubnika-50g
Артикул: 66891,"Мороженое Amore Альфонсо манго, 270г",AMORE,279,349,https://online.metro-cc.ru/products/amore-mango-alfonso-bez-zamenitelya-molochnyh-zhirov-270-g
